"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Heat Index (°C)","Sensor 1 Dew Point (°C)"
2026-08-31T16:35:00+05:30,2026-08-31 16:35:00,31.6,38,24.5,0,0,0,170,0,0,0,0,3.6,626.6,66,0,0.5,31.6,60,36.2,22.9
2026-08-31T16:30:00+05:30,2026-08-31 16:30:00,31.6,37.7,24.2,0,0,0,170,0,0,0,0,3.6,626.6,65,0,0.3,31.6,60,36.2,22.9
2026-08-31T16:25:00+05:30,2026-08-31 16:25:00,31.7,37.9,24.3,0,0,0,170,0,0,0,0,3.6,626.6,65,0,0.3,31.7,60,36.4,23
2026-08-31T16:20:00+05:30,2026-08-31 16:20:00,31.7,37.9,24.3,0,0,0,170,0,0,0,0,3.6,626.6,65,0,0.3,31.7,60,36.4,23
2026-08-31T16:15:00+05:30,2026-08-31 16:15:00,31.7,37.9,24.3,0,0,0,170,0,0,0,0,3.6,626.6,65,0,0.3,31.7,60,36.4,23
2026-08-31T16:10:00+05:30,2026-08-31 16:10:00,31.7,37.9,24.3,0,0,0,170,0,0,0,0,3.6,626.6,65,0,0.3,31.7,60,36.4,23
2026-08-31T16:05:00+05:30,2026-08-31 16:05:00,31.8,37.8,24.1,0,0,0,170,0,0,0,0,3.6,626.6,64,0,0.3,31.8,60,36.6,23.1
2026-08-31T16:00:00+05:30,2026-08-31 16:00:00,31.9,38.4,24.5,0,0,0,170,0,0,0,0,3.6,626.6,65,0,0.2,31.8,60,36.6,23.1
2026-08-31T15:55:00+05:30,2026-08-31 15:55:00,31.9,38,24.2,0,0,0,170,0,0,0,0,3.6,626.6,64,0,0.2,31.7,60,36.4,23
2026-08-31T15:50:00+05:30,2026-08-31 15:50:00,31.9,38,24.2,0,0,0,170,0,0,0,0,3.6,626.6,64,0,0.2,31.7,60,36.4,23
2026-08-31T15:45:00+05:30,2026-08-31 15:45:00,32,38,24.1,0,0,0,170,0,0,0,0,3.6,626.6,63,0,0.2,31.7,60,36.4,23
