"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)"
2025-02-28T23:55:00+05:30,2025-02-28 23:55:00,22.5,23.4,22.3,0,0,13,291,1.3,77.2,34.8,77.7,90.4,225.3,99,0,0,25,83,25.7,21.9
2025-02-28T23:50:00+05:30,2025-02-28 23:50:00,22.5,23.4,22.3,0,0,13,304,1.3,77.2,34.8,77.7,90.4,225.3,99,0,0,25,83,25.7,21.9
2025-02-28T23:45:00+05:30,2025-02-28 23:45:00,22.5,23.4,22.3,0,0,13,62,0,77,34.5,77.5,90.2,225.3,99,0,0,24.9,83,25.6,21.8
2025-02-28T23:40:00+05:30,2025-02-28 23:40:00,22.5,23.4,22.3,0,0,13,46,0,77,34.5,77.5,90.2,225.3,99,0,0,25,83,25.7,21.9
2025-02-28T23:35:00+05:30,2025-02-28 23:35:00,22.5,23.4,22.3,0,0,13,61,0,77,34.5,77.5,90.2,225.3,99,0,0,25,83,25.7,21.9
2025-02-28T23:30:00+05:30,2025-02-28 23:30:00,22.5,23.4,22.3,0,0,13,65,0,77,34.5,77.5,90.2,225.3,99,0,0,25.1,83,25.8,22
2025-02-28T23:25:00+05:30,2025-02-28 23:25:00,22.6,23.5,22.4,0,0,13,330,0,77,34.5,77.5,90.2,225.3,99,0,0,25.1,83,25.8,22
2025-02-28T23:20:00+05:30,2025-02-28 23:20:00,22.5,23.4,22.3,0,0,13,355,1.8,77,34.5,77.5,90.2,225.3,99,0,0,25.1,83,25.8,22
2025-02-28T23:15:00+05:30,2025-02-28 23:15:00,22.5,23.4,22.3,0,0,13,297,3,77,34.5,77.5,90.2,225.3,99,0,0,25.1,83,25.8,22
2025-02-28T23:11:00+05:30,2025-02-28 23:11:00,22.6,23.5,22.4,0,0,13,284,3,76.7,34.3,77.2,89.9,224.8,99,0,0,25.1,83,25.8,22
2025-02-28T23:05:00+05:30,2025-02-28 23:05:00,22.7,23.6,22.6,0,0,13,267,3,76.5,34,77,89.7,224.8,99,0,0,25.1,83,25.8,22
2025-02-28T23:00:00+05:30,2025-02-28 23:00:00,22.6,23.5,22.4,0,0,13,272,3,76.2,33.8,76.7,89.4,224.3,99,0,0,25.1,83,25.8,22
2025-02-28T22:55:00+05:30,2025-02-28 22:55:00,22.6,23.5,22.4,0,0,13,271,4.8,75.9,33.5,76.5,89.2,224.3,99,0,0,25.1,83,25.8,22
2025-02-28T22:50:00+05:30,2025-02-28 22:50:00,22.6,23.5,22.4,0,0,13,262,6.1,75.7,33.3,76.2,88.9,223.8,99,0,0,25.1,83,25.8,22
2025-02-28T22:45:00+05:30,2025-02-28 22:45:00,22.6,23.5,22.4,0,0,13,178,3,75.2,32.8,75.7,88.4,223.5,99,0,0,25.1,83,25.8,22
2025-02-28T22:40:00+05:30,2025-02-28 22:40:00,22.6,23.5,22.4,0,0,13,267,0,74.7,32.3,75.2,87.9,223,99,0,0,25.1,83,25.8,22
2025-02-28T22:35:00+05:30,2025-02-28 22:35:00,22.6,23.5,22.4,0,0,13,265,0,74.7,32.3,75.2,87.9,223,99,0,0,25.1,83,25.8,22
2025-02-28T22:30:00+05:30,2025-02-28 22:30:00,22.6,23.5,22.4,0,0,13,304,0,74.7,32.3,75.2,87.9,223,99,0,0,25.1,83,25.8,22
2025-02-28T22:25:00+05:30,2025-02-28 22:25:00,22.6,23.5,22.4,0,0,13,348,0,74.7,32.3,75.2,87.9,223,99,0,0,25.1,83,25.8,22
2025-02-28T22:20:00+05:30,2025-02-28 22:20:00,22.6,23.5,22.4,0,0,13,305,0,74.7,32.3,75.2,87.9,223,99,0,0,25.1,83,25.8,22
2025-02-28T22:15:00+05:30,2025-02-28 22:15:00,22.6,23.5,22.4,0,0,13,320,0,74.7,32.3,75.2,87.9,223,99,0,0,25.1,83,25.8,22
2025-02-28T22:10:00+05:30,2025-02-28 22:10:00,22.6,23.5,22.4,0,0,13,324,0,74.7,32.3,75.2,87.9,223,99,0,0,25.1,83,25.8,22
