"Date","Simple Date","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)"
2025-04-25T09:30:00+05:30,2025-04-25 09:30:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,6,681.1,26.8,85,29.7,24.1
2025-04-25T09:25:00+05:30,2025-04-25 09:25:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,6,645,26.7,85,29.6,24
2025-04-25T09:20:00+05:30,2025-04-25 09:20:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,5,607.9,26.7,85,29.6,24
2025-04-25T09:15:00+05:30,2025-04-25 09:15:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,5,601.4,26.6,85,27.6,23.9
2025-04-25T09:10:00+05:30,2025-04-25 09:10:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,5,583.3,26.6,85,27.6,23.9
2025-04-25T09:05:00+05:30,2025-04-25 09:05:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,5,551.3,26.5,85,27.4,23.8
2025-04-25T09:00:00+05:30,2025-04-25 09:00:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,5,537.4,26.5,85,27.4,23.8
2025-04-25T08:55:00+05:30,2025-04-25 08:55:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,5,531.2,26.4,85,27.3,23.7
2025-04-25T08:50:00+05:30,2025-04-25 08:50:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,4,507,26.4,85,27.3,23.7
2025-04-25T08:45:00+05:30,2025-04-25 08:45:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,4,486.7,26.4,85,27.3,23.7
2025-04-25T08:40:00+05:30,2025-04-25 08:40:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,4,466.8,26.3,85,27.2,23.6
2025-04-25T08:35:00+05:30,2025-04-25 08:35:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,4,443.8,26.3,85,27.2,23.6
2025-04-25T08:30:00+05:30,2025-04-25 08:30:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,4,427.7,26.3,86,27.2,23.7
2025-04-25T08:25:00+05:30,2025-04-25 08:25:00,0,0,1.8,38,0,0,0.3,1,290.1,849.4,3,404.3,26.2,86,27.2,23.7
2025-04-25T08:20:00+05:30,2025-04-25 08:20:00,0,0,1.8,34,0,0,0.3,1,290.1,849.4,3,387.1,26.2,86,27.2,23.7
2025-04-25T08:15:00+05:30,2025-04-25 08:15:00,0,0,1.8,34,0,0,0.3,1,290.1,849.4,3,384.4,26.2,86,27.2,23.7
2025-04-25T08:10:00+05:30,2025-04-25 08:10:00,0,0,1.8,11,0,0,0.3,1,290.1,849.4,3,364.8,26.1,86,27,23.6
2025-04-25T08:05:00+05:30,2025-04-25 08:05:00,0,0,1.8,348,0,0,0.3,1,290.1,849.4,3,344.9,26.1,86,27,23.6
2025-04-25T08:00:00+05:30,2025-04-25 08:00:00,0,0,1.8,359,0,0,0.3,1,290.1,849.4,3,320.3,26,86,26.9,23.4
2025-04-25T07:55:00+05:30,2025-04-25 07:55:00,0,0,1.8,353,0,0,0.3,1,290.1,849.4,2,299.6,26,86,26.9,23.4
2025-04-25T07:50:00+05:30,2025-04-25 07:50:00,0,0,1.8,354,0,0,0.3,1,290.1,849.4,2,269.3,26,86,26.9,23.4
2025-04-25T07:45:00+05:30,2025-04-25 07:45:00,0,0,0,354,0,0,0.3,1,290.1,849.4,2,234.4,25.9,86,26.8,23.3
2025-04-25T07:40:00+05:30,2025-04-25 07:40:00,0,0,0,24,0,0,0.3,1,290.1,849.4,1,194.1,25.9,86,26.8,23.3
2025-04-25T07:35:00+05:30,2025-04-25 07:35:00,0,0,0,353,0,0,0.3,1,290.1,849.4,1,156.1,25.8,86,26.7,23.3
2025-04-25T07:30:00+05:30,2025-04-25 07:30:00,0,0,0,145,0,0,0.3,1,290.1,849.4,1,134.8,25.8,86,26.7,23.3
2025-04-25T07:25:00+05:30,2025-04-25 07:25:00,0,0,0,186,0,0,0.3,1,290.1,849.4,1,116.5,25.8,86,26.7,23.3
2025-04-25T07:20:00+05:30,2025-04-25 07:20:00,0,0,0,308,0,0,0.3,1,290.1,849.4,0,88,25.7,86,26.6,23.2
2025-04-25T07:15:00+05:30,2025-04-25 07:15:00,0,0,0,266,0,0,0.3,1,290.1,849.4,0,78.3,25.7,86,26.6,23.2
2025-04-25T07:10:00+05:30,2025-04-25 07:10:00,0,0,0,13,0,0,0.3,1,290.1,849.4,0,86,25.6,85,26.4,22.9
2025-04-25T07:05:00+05:30,2025-04-25 07:05:00,0,0,0,13,0,0,0.3,1,290.1,849.4,0,62.9,25.6,85,26.4,22.9
2025-04-25T07:00:00+05:30,2025-04-25 07:00:00,0,0,0,13,0,0,0.3,1,290.1,849.4,0,59.2,25.6,85,26.4,22.9
2025-04-25T06:55:00+05:30,2025-04-25 06:55:00,0,0,0,13,0,0,0.3,1,290.1,849.4,0,54.4,25.6,85,26.4,22.9
2025-04-25T06:50:00+05:30,2025-04-25 06:50:00,0,0,0,13,0,0,0.3,1,290.1,849.4,0,48.2,25.6,85,26.4,22.9
2025-04-25T06:45:00+05:30,2025-04-25 06:45:00,0,0,0,14,0,0,0.3,1,290.1,849.4,0,43.5,25.6,85,26.4,22.9
2025-04-25T06:40:00+05:30,2025-04-25 06:40:00,0,0,0,13,0,0,0.3,1,290.1,849.4,0,40,25.6,84,26.4,22.7
2025-04-25T06:35:00+05:30,2025-04-25 06:35:00,0,0,0,14,0,0,0.3,1,290.1,849.4,0,34.4,25.5,84,26.3,22.6
