"Date","Simple Date","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)"
2025-06-21T00:50:00+05:30,2025-06-21 00:50:00,0,0,9.3,17,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,86,26.2,22.9
2025-06-21T00:45:00+05:30,2025-06-21 00:45:00,5.5,5.5,9.3,359,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,86,26.2,22.9
2025-06-21T00:40:00+05:30,2025-06-21 00:40:00,0,0,9.3,7,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,86,26.2,22.9
2025-06-21T00:35:00+05:30,2025-06-21 00:35:00,0,0,9.3,1,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-21T00:30:00+05:30,2025-06-21 00:30:00,1.1,1.8,9.3,5,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-21T00:25:00+05:30,2025-06-21 00:25:00,0,0,9.3,18,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-21T00:20:00+05:30,2025-06-21 00:20:00,1.4,3.5,9.3,14,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-21T00:15:00+05:30,2025-06-21 00:15:00,2.1,5.5,9.3,15,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-21T00:10:00+05:30,2025-06-21 00:10:00,2.1,3.5,9.3,15,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-21T00:05:00+05:30,2025-06-21 00:05:00,4,5.5,9.3,1,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-21T00:00:00+05:30,2025-06-21 00:00:00,2.9,3.5,3.5,357,0,9.4,0,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-20T23:55:00+05:30,2025-06-20 23:55:00,3.5,5.5,16.6,13,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-20T23:50:00+05:30,2025-06-20 23:50:00,0,0,16.6,355,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-20T23:45:00+05:30,2025-06-20 23:45:00,0,0,16.6,2,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T23:30:00+05:30,2025-06-20 23:30:00,3.2,3.5,16.6,9,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T23:25:00+05:30,2025-06-20 23:25:00,4.3,5.5,16.6,11,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.4,85,26.2,22.7
2025-06-20T23:20:00+05:30,2025-06-20 23:20:00,0,0,16.6,8,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T23:15:00+05:30,2025-06-20 23:15:00,1.1,1.8,16.6,7,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T23:10:00+05:30,2025-06-20 23:10:00,2.1,3.5,16.6,359,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T23:05:00+05:30,2025-06-20 23:05:00,0,0,16.6,14,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T23:00:00+05:30,2025-06-20 23:00:00,0,0,16.6,18,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T22:55:00+05:30,2025-06-20 22:55:00,2.1,3.5,16.6,15,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T22:50:00+05:30,2025-06-20 22:50:00,0.3,1.8,16.6,24,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.5,85,26.3,22.8
2025-06-20T22:45:00+05:30,2025-06-20 22:45:00,1.1,3.5,16.6,339,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:40:00+05:30,2025-06-20 22:40:00,1.8,3.5,16.6,15,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:35:00+05:30,2025-06-20 22:35:00,2.1,3.5,16.6,7,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:30:00+05:30,2025-06-20 22:30:00,2.1,3.5,16.6,35,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:25:00+05:30,2025-06-20 22:25:00,0.3,1.8,16.6,355,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:20:00+05:30,2025-06-20 22:20:00,2.9,3.5,16.6,7,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:15:00+05:30,2025-06-20 22:15:00,1.8,1.8,16.6,12,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:10:00+05:30,2025-06-20 22:10:00,1.8,1.8,16.6,7,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:05:00+05:30,2025-06-20 22:05:00,0.6,1.8,16.6,3,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T22:00:00+05:30,2025-06-20 22:00:00,0.3,1.8,16.6,8,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T21:55:00+05:30,2025-06-20 21:55:00,0,0,16.6,354,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T21:50:00+05:30,2025-06-20 21:50:00,0,0,16.6,12,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T21:45:00+05:30,2025-06-20 21:45:00,0,0,16.6,6,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T21:40:00+05:30,2025-06-20 21:40:00,0,0,16.6,14,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T21:35:00+05:30,2025-06-20 21:35:00,2.1,3.5,16.6,359,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.6,85,26.4,22.9
2025-06-20T21:30:00+05:30,2025-06-20 21:30:00,2.9,3.5,16.6,7,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,85,26.6,23
2025-06-20T21:25:00+05:30,2025-06-20 21:25:00,3.2,3.5,16.6,359,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,85,26.6,23
2025-06-20T21:20:00+05:30,2025-06-20 21:20:00,1.8,1.8,16.6,354,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,85,26.6,23
2025-06-20T21:15:00+05:30,2025-06-20 21:15:00,1.4,3.5,16.6,10,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,86,26.6,23.2
2025-06-20T21:10:00+05:30,2025-06-20 21:10:00,2.6,3.5,16.6,1,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,86,26.6,23.2
2025-06-20T21:05:00+05:30,2025-06-20 21:05:00,0,0,16.6,345,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,86,26.6,23.2
2025-06-20T21:00:00+05:30,2025-06-20 21:00:00,2.9,3.5,16.6,325,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,86,26.6,23.2
2025-06-20T20:55:00+05:30,2025-06-20 20:55:00,1.1,1.8,16.6,2,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,86,26.6,23.2
2025-06-20T20:50:00+05:30,2025-06-20 20:50:00,0.3,1.8,16.6,21,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:45:00+05:30,2025-06-20 20:45:00,2.6,3.5,16.6,3,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:40:00+05:30,2025-06-20 20:40:00,4.3,5.5,16.6,7,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.7,86,26.6,23.2
2025-06-20T20:35:00+05:30,2025-06-20 20:35:00,0,0,16.6,25,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:30:00+05:30,2025-06-20 20:30:00,1.4,1.8,16.6,14,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:25:00+05:30,2025-06-20 20:25:00,1.1,1.8,16.6,9,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:20:00+05:30,2025-06-20 20:20:00,2.6,3.5,16.6,31,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:15:00+05:30,2025-06-20 20:15:00,1.8,1.8,16.6,4,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:10:00+05:30,2025-06-20 20:10:00,0,0,16.6,14,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:05:00+05:30,2025-06-20 20:05:00,0,0,16.6,27,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,86,26.7,23.3
2025-06-20T20:00:00+05:30,2025-06-20 20:00:00,0,0,16.6,33,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.8,85,26.6,23.1
2025-06-20T19:55:00+05:30,2025-06-20 19:55:00,0,0,16.6,33,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.9,85,26.8,23.2
2025-06-20T19:50:00+05:30,2025-06-20 19:50:00,0,0,16.6,36,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.9,85,26.8,23.2
2025-06-20T19:45:00+05:30,2025-06-20 19:45:00,0,0,16.6,32,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.9,85,26.8,23.2
2025-06-20T19:40:00+05:30,2025-06-20 19:40:00,0,0,16.6,10,0,9.4,4.3,48.3,129.8,1259.6,0,0,25.9,85,26.8,23.2
2025-06-20T19:35:00+05:30,2025-06-20 19:35:00,0.3,1.8,16.6,9,0,9.4,4.3,48.3,129.8,1259.6,0,0,26,85,26.9,23.3
2025-06-20T19:30:00+05:30,2025-06-20 19:30:00,1.1,1.8,16.6,38,0,9.4,4.3,48.3,129.8,1259.6,0,0,26,85,26.9,23.3
2025-06-20T19:25:00+05:30,2025-06-20 19:25:00,0,0,16.6,28,0,9.4,4.3,48.3,129.8,1259.6,0,0,26,85,26.9,23.3
2025-06-20T19:20:00+05:30,2025-06-20 19:20:00,0,0,16.6,35,0,9.4,4.3,48.3,129.8,1259.6,0,0,26,85,26.9,23.3
2025-06-20T19:15:00+05:30,2025-06-20 19:15:00,0.3,1.8,16.6,6,0,9.4,4.3,48.3,129.8,1259.6,0,0,26.1,85,27,23.4
2025-06-20T19:10:00+05:30,2025-06-20 19:10:00,0,0,16.6,351,0,9.4,4.3,48.3,129.8,1259.6,0,0,26.1,85,27,23.4
2025-06-20T19:05:00+05:30,2025-06-20 19:05:00,0.3,1.8,16.6,4,0,9.4,4.3,48.3,129.8,1259.6,0,0,26.1,85,27,23.4
2025-06-20T19:00:00+05:30,2025-06-20 19:00:00,0,0,16.6,18,0,9.4,4.3,48.3,129.8,1259.6,0,0,26.2,85,27.1,23.5
