"Date","Simple Date","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 1 Temperature (°C)","Sensor 1 Humidity (%)","Sensor 1 Feels Like (°C)","Sensor 1 Dew Point (°C)"
2025-03-31T23:55:00+05:30,2025-03-31 23:55:00,0,0,11.1,348,0,3,3,3,141.5,559.3,0,0,26.5,83,27.4,23.4
2025-03-31T23:50:00+05:30,2025-03-31 23:50:00,0,0,11.1,348,0,3,3,3,141.5,559.3,0,0,26.5,83,27.4,23.4
2025-03-31T23:45:00+05:30,2025-03-31 23:45:00,0,0,11.1,349,0,3,3,3,141.5,559.3,0,0,26.5,83,27.4,23.4
2025-03-31T23:40:00+05:30,2025-03-31 23:40:00,0,0,11.1,349,0,3,3,3,141.5,559.3,0,0,26.6,83,27.5,23.5
2025-03-31T23:35:00+05:30,2025-03-31 23:35:00,0,0,11.1,218,0,3,3,3,141.5,559.3,0,0,26.5,82,27.3,23.2
2025-03-31T23:30:00+05:30,2025-03-31 23:30:00,0,0,11.1,217,0,3,3,3,141.5,559.3,0,0,26.6,82,27.4,23.3
2025-03-31T23:25:00+05:30,2025-03-31 23:25:00,0,0,11.1,216,0,3,3,3,141.5,559.3,0,0,26.6,82,27.4,23.3
2025-03-31T23:20:00+05:30,2025-03-31 23:20:00,0,0,11.1,216,0,3,3,3,141.5,559.3,0,0,26.6,83,27.5,23.5
2025-03-31T23:15:00+05:30,2025-03-31 23:15:00,0,0,11.1,1,0,3,3,3,141.5,559.3,0,0,26.6,83,27.5,23.5
2025-03-31T23:10:00+05:30,2025-03-31 23:10:00,0,0,11.1,190,0,3,3,3,141.5,559.3,0,0,26.6,82,27.4,23.3
2025-03-31T23:05:00+05:30,2025-03-31 23:05:00,0,0,11.1,190,0,3,3,3,141.5,559.3,0,0,26.6,82,27.4,23.3
2025-03-31T23:00:00+05:30,2025-03-31 23:00:00,0,0,11.1,190,0,3,3,3,141.5,559.3,0,0,26.6,82,27.4,23.3
