"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","Indoor Battery","Absolute Pressure (hPa)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2026-06-02T05:00:00+05:30,2026-06-02 05:00:00,22.6,23.4,21.4,2.6,3.5,14.8,146,0,0,0,0,0,833.8,953.5,93,0,0,27.9,69,1,953.5,1,172,1.4,30.3,21.7
2026-06-02T04:55:00+05:30,2026-06-02 04:55:00,22.6,23.4,21.4,0,0,14.8,185,0,0,0,0,0,833.8,953.9,93,0,0,27.9,69,1,953.9,1,190,1.8,30.3,21.7
2026-06-02T04:50:00+05:30,2026-06-02 04:50:00,22.6,23.4,21.4,1.8,1.8,14.8,169,0,0,0,0,0,833.8,953.4,93,0,0,27.9,69,1,953.4,1,167,2.6,30.3,21.7
2026-06-02T04:45:00+05:30,2026-06-02 04:45:00,22.7,23.5,21.4,3.5,3.5,14.8,141,0,0,0,0,0,833.8,953.5,92,0,0,27.9,69,1,953.5,1,165,2.9,30.3,21.7
2026-06-02T04:40:00+05:30,2026-06-02 04:40:00,22.7,23.5,21.4,2.1,3.5,14.8,103,0,0,0,0,0,833.8,953.4,92,0,0,28,69,1,953.4,1,144,2.6,30.6,21.8
2026-06-02T04:35:00+05:30,2026-06-02 04:35:00,22.9,23.6,21.3,2.9,3.5,14.8,116,0,0,0,0,0,833.8,953.2,91,0,0,28,69,1,953.2,1,144,2.1,30.6,21.8
2026-06-02T04:30:00+05:30,2026-06-02 04:30:00,23.1,23.9,21.6,4,5.5,14.8,159,0,0,0,0,0,833.8,953.2,91,0,0,28,69,1,953.2,1,136,2.6,30.6,21.8
2026-06-02T04:25:00+05:30,2026-06-02 04:25:00,23.3,24,21.4,4.3,5.5,14.8,340,0,0,0,0,0,833.8,953.4,89,0,0,28,69,1,953.4,1,188,2.9,30.6,21.8
2026-06-02T04:20:00+05:30,2026-06-02 04:20:00,23.4,24.1,21.5,0,0,14.8,186,0,0,0,0,0,833.8,953.3,89,0,0,28,69,1,953.3,1,194,3.5,30.6,21.8
2026-06-02T04:15:00+05:30,2026-06-02 04:15:00,23.5,24.2,21.4,5.8,7.2,14.8,107,0,0,0,0,0,833.8,953.4,88,0,0,28,69,1,953.4,1,232,2.9,30.6,21.8
2026-06-02T04:10:00+05:30,2026-06-02 04:10:00,23.5,24.2,21.4,1.1,1.8,14.8,228,0,0,0,0,0,833.8,953.2,88,0,0,28,69,1,953.2,1,194,1.8,30.6,21.8
2026-06-02T04:05:00+05:30,2026-06-02 04:05:00,23.6,24.3,21.5,2.1,3.5,14.8,194,0,0,0,0,0,833.8,953.3,88,0,0,28,69,1,953.3,1,194,2.1,30.6,21.8
2026-06-02T04:00:00+05:30,2026-06-02 04:00:00,23.6,24.3,21.5,2.1,3.5,14.8,156,0,0,0,0,0,833.8,953.4,88,0,0,27.9,69,1,953.4,1,156,3.5,30.3,21.7
2026-06-02T03:55:00+05:30,2026-06-02 03:55:00,23.5,24.2,21.4,4.3,5.5,14.8,217,0,0,0,0,0,833.8,953.2,88,0,0,28,69,1,953.2,1,228,4,30.6,21.8
2026-06-02T03:50:00+05:30,2026-06-02 03:50:00,23.5,24.2,21.4,3.5,3.5,14.8,221,0,0,0,0,0,833.8,953.5,88,0,0,28,69,1,953.5,1,257,4,30.6,21.8
2026-06-02T03:45:00+05:30,2026-06-02 03:45:00,23.5,24.2,21.4,3.5,3.5,14.8,196,0,0,0,0,0,833.8,953.5,88,0,0,28,69,1,953.5,1,203,4.3,30.6,21.8
2026-06-02T03:40:00+05:30,2026-06-02 03:40:00,23.5,24.2,21.4,5.5,5.5,14.8,272,0,0,0,0,0,833.8,953.6,88,0,0,28,69,1,953.6,1,203,3.5,30.6,21.8
2026-06-02T03:35:00+05:30,2026-06-02 03:35:00,23.4,24.1,21.5,2.6,3.5,14.8,186,0,0,0,0,0,833.8,953.5,89,0,0,28,69,1,953.5,1,186,2.6,30.6,21.8
2026-06-02T03:30:00+05:30,2026-06-02 03:30:00,23.3,24,21.4,2.1,3.5,14.8,215,0,0,0,0,0,833.8,953.4,89,0,0,28,69,1,953.4,1,222,3.2,30.6,21.8
2026-06-02T03:25:00+05:30,2026-06-02 03:25:00,23.3,24,21.4,2.9,3.5,14.8,191,0,0,0,0,0,833.8,953.5,89,0,0,28,68,1,953.5,1,230,3.5,30.4,21.6
2026-06-02T03:20:00+05:30,2026-06-02 03:20:00,23.4,24.1,21.3,2.9,3.5,14.8,223,0,0,0,0,0,833.8,953.3,88,0,0,28.1,68,1,953.3,1,223,4.7,30.6,21.6
2026-06-02T03:15:00+05:30,2026-06-02 03:15:00,23.5,24.2,21.2,5.8,7.2,14.8,270,0,0,0,0,0,833.8,953.2,87,0,0,28.1,68,1,953.2,1,288,4.3,30.6,21.6
2026-06-02T03:10:00+05:30,2026-06-02 03:10:00,23.5,24.2,21.4,2.6,3.5,14.8,210,0,0,0,0,0,833.8,953.3,88,0,0,28.1,68,1,953.3,1,223,3.2,30.6,21.6
2026-06-02T03:05:00+05:30,2026-06-02 03:05:00,23.4,24.1,21.3,2.1,3.5,14.8,198,0,0,0,0,0,833.8,953.4,88,0,0,28.1,68,1,953.4,1,195,4.3,30.6,21.6
2026-06-02T03:00:00+05:30,2026-06-02 03:00:00,23.5,24.2,21.4,2.1,3.5,14.8,194,0,0,0,0,0,833.8,953.4,88,0,0,28.2,68,1,953.4,1,238,5.5,30.8,21.7
2026-06-02T02:55:00+05:30,2026-06-02 02:55:00,23.5,24.2,21.4,3.5,3.5,14.8,200,0,0,0,0,0,833.8,953.5,88,0,0,28.2,68,1,953.5,1,200,4.7,30.8,21.7
2026-06-02T02:50:00+05:30,2026-06-02 02:50:00,23.1,23.8,21.4,4.7,5.5,14.8,245,0,0,0,0,0,833.8,953.3,90,0,0,28.2,68,1,953.3,1,210,3.5,30.8,21.7
2026-06-02T02:45:00+05:30,2026-06-02 02:45:00,23,23.7,21.4,5,5.5,14.8,257,0,0,0,0,0,833.8,953.6,91,0,0,28.3,68,1,953.6,1,224,3.5,30.9,21.8
2026-06-02T02:40:00+05:30,2026-06-02 02:40:00,23.1,23.9,21.6,4,5.5,14.8,35,0,0,0,0,0,833.8,953.4,91,0,0,28.3,68,1,953.4,1,161,3.5,30.9,21.8
2026-06-02T02:35:00+05:30,2026-06-02 02:35:00,23.2,24,21.5,1.8,1.8,14.8,137,0,0,0,0,0,833.8,953.4,90,0,0,28.3,68,1,953.4,1,163,2.6,30.9,21.8
2026-06-02T02:30:00+05:30,2026-06-02 02:30:00,23.2,24,21.5,4,5.5,14.8,137,0,0,0,0,0,833.8,953.4,90,0,0,28.4,68,1,953.4,1,142,2.6,31.1,21.9
2026-06-02T02:25:00+05:30,2026-06-02 02:25:00,23.3,24,21.4,2.1,3.5,14.8,120,0,0,0,0,0,833.8,953.7,89,0,0,28.4,68,1,953.7,1,135,2.1,31.1,21.9
2026-06-02T02:20:00+05:30,2026-06-02 02:20:00,23.4,24.1,21.5,1.4,1.8,14.8,177,0,0,0,0,0,833.8,953.6,89,0,0,28.4,68,1,953.6,1,186,3.5,31.1,21.9
2026-06-02T02:15:00+05:30,2026-06-02 02:15:00,23.4,24.1,21.5,6.1,9.3,14.8,205,0,0,0,0,0,833.8,953.8,89,0,0,28.4,68,1,953.8,1,358,3.5,31.1,21.9
2026-06-02T02:10:00+05:30,2026-06-02 02:10:00,23.6,24.3,21.5,3.2,3.5,14.8,202,0,0,0,0,0,833.8,953.8,88,0,0,28.4,68,1,953.8,1,202,3.5,31.1,21.9
