"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 4 Temperature (°C)","Sensor 4 Humidity (%)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Sensor 4 Battery","CO2 battery","Sensor 4 Feels Like (°C)","Sensor 4 Dew Point (°C)"
2026-05-31T23:55:00+05:30,2026-05-31 23:55:00,24,24.8,22.3,0,0,20.1,296,0,0,0,0,175.6,771.2,90,0,0,27.4,76,1,296,0,1,1,30.2,22.8
2026-05-31T23:50:00+05:30,2026-05-31 23:50:00,24,24.8,22.3,0,0,20.1,296,0,0,0,0,175.6,771.2,90,0,0,27.4,76,1,296,0,1,1,30.2,22.8
2026-05-31T23:45:00+05:30,2026-05-31 23:45:00,24.1,24.9,22.4,0,0,20.1,296,0,0,0,0,175.6,771.2,90,0,0,27.4,76,1,296,0,1,1,30.2,22.8
2026-05-31T23:40:00+05:30,2026-05-31 23:40:00,24.2,25.1,22.5,0,0,20.1,297,0,0,0,0,175.6,771.2,90,0,0,27.4,76,1,297,0,1,1,30.2,22.8
2026-05-31T23:35:00+05:30,2026-05-31 23:35:00,24.3,25.1,22.5,0,0,20.1,296,0,0,0,0,175.6,771.2,90,0,0,27.4,76,1,323,0,1,1,30.2,22.8
2026-05-31T23:30:00+05:30,2026-05-31 23:30:00,24.4,25.3,22.8,0,0,20.1,323,0,0,0,0,175.6,771.2,91,0,0,27.4,76,1,311,0,1,1,30.2,22.8
2026-05-31T23:25:00+05:30,2026-05-31 23:25:00,24.5,25.4,23.1,0,0,20.1,311,0,0,0,0,175.6,771.2,92,0,0,27.5,76,1,311,0,1,1,30.4,22.9
2026-05-31T23:20:00+05:30,2026-05-31 23:20:00,24.5,25.4,23.1,0,0,20.1,310,0,0,0,0,175.6,771.2,92,0,0,27.4,76,1,293,0,1,1,30.2,22.8
2026-05-31T23:15:00+05:30,2026-05-31 23:15:00,24.7,25.7,23.3,0,0,20.1,297,0,0,0,0,175.6,771.2,92,0,0,27.5,76,1,297,0,1,1,30.4,22.9
2026-05-31T23:10:00+05:30,2026-05-31 23:10:00,24.7,25.6,23.1,0,0,20.1,297,0,0,0,0,175.6,771.2,91,0,0,27.5,76,1,297,0,1,1,30.4,22.9
2026-05-31T23:05:00+05:30,2026-05-31 23:05:00,24.8,25.7,23.2,0,0,20.1,297,0,0,0,0,175.6,771.2,91,0,0,27.5,76,1,288,0,1,1,30.4,22.9
2026-05-31T23:00:00+05:30,2026-05-31 23:00:00,24.8,25.7,23,0,0,20.1,297,0,0,0,0,175.6,771.2,90,0,0,27.5,76,1,288,0,1,1,30.4,22.9
2026-05-31T22:55:00+05:30,2026-05-31 22:55:00,24.8,25.7,23.2,0,0,20.1,297,0,0,0,0,175.6,771.2,91,0,0,27.5,76,1,297,0,1,1,30.4,22.9
2026-05-31T22:50:00+05:30,2026-05-31 22:50:00,24.8,25.7,23,0,0,20.1,283,0,0,0,0,175.6,771.2,90,0,0,27.5,76,1,283,0,1,1,30.4,22.9
2026-05-31T22:45:00+05:30,2026-05-31 22:45:00,24.8,25.7,23.4,0,0,20.1,279,0,0,0,0,175.6,771.2,92,0,0,27.5,76,1,279,0,1,1,30.4,22.9
2026-05-31T22:40:00+05:30,2026-05-31 22:40:00,24.7,25.6,23.1,0,1.8,20.1,299,0,0,0,0,175.6,771.2,91,0,0,27.5,76,1,351,0,1,1,30.4,22.9
2026-05-31T22:35:00+05:30,2026-05-31 22:35:00,24.8,25.7,23.2,0,0,20.1,351,0,0,0,0,175.6,771.2,91,0,0,27.6,76,1,351,0,1,1,30.7,23
2026-05-31T22:30:00+05:30,2026-05-31 22:30:00,24.7,25.7,23.3,0,0,20.1,351,0,0,0,0,175.6,771.2,92,0,0,27.5,76,1,351,0,1,1,30.4,22.9
