"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","PM2.5 Outdoor (µg/m^3)","PM2.5 Outdoor 24 Hour Average (µg/m^3)","Sensor 4 Temperature (°C)","Sensor 4 Humidity (%)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Sensor 4 Battery","PM2.5 Outdoor","PM2.5 Outdoor 24 Hour Average","PM2.5 Outdoor Battery","CO2 battery","Sensor 4 Feels Like (°C)","Sensor 4 Dew Point (°C)"
2026-01-31T23:55:00+05:30,2026-01-31 23:55:00,21.4,22.2,21.2,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.2,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:50:00+05:30,2026-01-31 23:50:00,21.4,22.2,21.2,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.2,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:45:00+05:30,2026-01-31 23:45:00,21.4,22.2,21.2,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.2,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:40:00+05:30,2026-01-31 23:40:00,21.4,22.2,21.2,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.2,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:35:00+05:30,2026-01-31 23:35:00,21.3,22,21.1,0,0,13,6,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.2,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:30:00+05:30,2026-01-31 23:30:00,21.4,22.2,21.2,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.2,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:25:00+05:30,2026-01-31 23:25:00,21.4,22.2,21.2,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.2,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:20:00+05:30,2026-01-31 23:20:00,21.4,22.2,21.2,0,0,13,6,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.3,83,1,6,0,1,,,,1,24.9,21.2
2026-01-31T23:15:00+05:30,2026-01-31 23:15:00,21.5,22.3,21.3,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.3,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:10:00+05:30,2026-01-31 23:10:00,21.5,22.3,21.3,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.3,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T23:05:00+05:30,2026-01-31 23:05:00,21.6,22.4,21.4,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.3,83,1,4,0,1,,,,1,24.9,21.2
2026-01-31T23:00:00+05:30,2026-01-31 23:00:00,21.5,22.3,21.3,0,0,13,5,0,0,14.9,18.8,67.7,67.7,99,0,0,,,24.3,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T22:55:00+05:30,2026-01-31 22:55:00,21.6,22.4,21.3,0,0,13,5,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.3,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T22:50:00+05:30,2026-01-31 22:50:00,21.7,22.5,21.4,0,0,13,5,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.3,83,1,5,0,1,,,,1,24.9,21.2
2026-01-31T22:45:00+05:30,2026-01-31 22:45:00,21.8,22.6,21.4,0,0,13,5,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.3,83,1,4,0,1,,,,1,24.9,21.2
2026-01-31T22:40:00+05:30,2026-01-31 22:40:00,21.9,22.7,21.6,0,0,13,5,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.3,83,1,11,0,1,,,,1,24.9,21.2
2026-01-31T22:35:00+05:30,2026-01-31 22:35:00,21.9,22.7,21.6,0,0,13,19,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.4,83,1,19,0,1,,,,1,25.1,21.3
2026-01-31T22:30:00+05:30,2026-01-31 22:30:00,21.9,22.7,21.6,0,0,13,10,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.4,83,1,10,0,1,,,,1,25.1,21.3
2026-01-31T22:25:00+05:30,2026-01-31 22:25:00,21.9,22.7,21.6,0,0,13,11,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.4,83,1,11,0,1,,,,1,25.1,21.3
2026-01-31T22:20:00+05:30,2026-01-31 22:20:00,21.9,22.7,21.6,0,0,13,11,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.4,83,1,10,0,1,,,,1,25.1,21.3
2026-01-31T22:15:00+05:30,2026-01-31 22:15:00,21.9,22.7,21.6,0,0,13,10,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.4,83,1,11,0,1,,,,1,25.1,21.3
2026-01-31T22:10:00+05:30,2026-01-31 22:10:00,22,22.8,21.7,0,0,13,10,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.4,83,1,11,0,1,,,,1,25.1,21.3
2026-01-31T22:05:00+05:30,2026-01-31 22:05:00,22,22.8,21.7,0,0,13,11,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.5,83,1,11,0,1,,,,1,25.2,21.4
2026-01-31T22:00:00+05:30,2026-01-31 22:00:00,22,22.8,21.7,0,0,13,11,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.4,83,1,11,0,1,,,,1,25.1,21.3
2026-01-31T21:55:00+05:30,2026-01-31 21:55:00,22.1,22.9,21.8,0,0,13,11,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.5,83,1,10,0,1,,,,1,25.2,21.4
2026-01-31T21:50:00+05:30,2026-01-31 21:50:00,22.1,22.9,21.8,0,0,13,11,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.5,83,1,11,0,1,,,,1,25.2,21.4
2026-01-31T21:45:00+05:30,2026-01-31 21:45:00,22.1,22.9,21.8,0,0,13,11,0,0,14.9,18.8,67.7,67.7,98,0,0,,,24.5,83,1,42,0,1,,,,1,25.2,21.4
2026-01-31T21:40:00+05:30,2026-01-31 21:40:00,22.2,23,21.7,0,0,13,42,0,0,14.9,18.8,67.7,67.7,97,0,0,,,24.5,83,1,42,0,1,,,,1,25.2,21.4
2026-01-31T21:35:00+05:30,2026-01-31 21:35:00,22.2,23,21.7,0,0,13,42,0,0,14.9,18.8,67.7,67.7,97,0,0,,,24.5,83,1,42,0,1,,,,1,25.2,21.4
2026-01-31T21:30:00+05:30,2026-01-31 21:30:00,22.1,22.9,21.6,0,0,13,42,0,0,14.9,18.8,67.7,67.7,97,0,0,,,24.5,83,1,42,0,1,,,,1,25.2,21.4
