"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 4 Temperature (°C)","Sensor 4 Humidity (%)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Sensor 4 Battery","CO2 battery","Sensor 4 Feels Like (°C)","Sensor 4 Dew Point (°C)"
2026-02-28T23:55:00+05:30,2026-02-28 23:55:00,19.9,19.9,18.7,0,0,16.6,308,0,0,0,6.3,195.3,263,93,0,0,25.6,67,1,308,0,1,1,26,19
2026-02-28T23:50:00+05:30,2026-02-28 23:50:00,19.9,19.9,18.7,0,0,16.6,308,0,0,0,6.3,195.3,263,93,0,0,25.7,66,1,308,0,1,1,26.1,18.9
2026-02-28T23:45:00+05:30,2026-02-28 23:45:00,20,20,18.7,0,0,16.6,308,0,0,0,6.3,195.3,263,92,0,0,25.7,66,1,307,0,1,1,26.1,18.9
2026-02-28T23:40:00+05:30,2026-02-28 23:40:00,20.1,20.6,18.8,0,0,16.6,307,0,0,0,6.3,195.3,263,92,0,0,25.7,66,1,307,0,1,1,26.1,18.9
2026-02-28T23:35:00+05:30,2026-02-28 23:35:00,20.1,20.6,18.8,0,0,16.6,307,0,0,0,6.3,195.3,263,92,0,0,25.7,66,1,307,0,1,1,26.1,18.9
2026-02-28T23:30:00+05:30,2026-02-28 23:30:00,20.2,20.7,18.7,0,0,16.6,307,0,0,0,6.3,195.3,263,91,0,0,25.7,66,1,307,0,1,1,26.1,18.9
2026-02-28T23:25:00+05:30,2026-02-28 23:25:00,20.3,20.7,18.8,0,0,16.6,307,0,0,0,6.3,195.3,263,91,0,0,25.8,66,1,307,0,1,1,26.1,18.9
2026-02-28T23:20:00+05:30,2026-02-28 23:20:00,20.4,20.9,18.9,0,0,16.6,307,0,0,0,6.3,195.3,263,91,0,0,25.8,66,1,307,0,1,1,26.1,18.9
2026-02-28T23:15:00+05:30,2026-02-28 23:15:00,20.5,21,18.8,0,0,16.6,308,0,0,0,6.3,195.3,263,90,0,0,25.8,66,1,307,0,1,1,26.1,18.9
2026-02-28T23:10:00+05:30,2026-02-28 23:10:00,20.5,21,18.8,0,0,16.6,307,0,0,0,6.3,195.3,263,90,0,0,25.8,65,1,307,0,1,1,26.1,18.7
2026-02-28T23:05:00+05:30,2026-02-28 23:05:00,20.5,21,18.8,0,0,16.6,307,0,0,0,6.3,195.3,263,90,0,0,25.8,65,1,307,0,1,1,26.1,18.7
2026-02-28T23:00:00+05:30,2026-02-28 23:00:00,20.4,20.9,18.9,0,0,16.6,307,0,0,0,6.3,195.3,263,91,0,0,25.8,65,1,307,0,1,1,26.1,18.7
2026-02-28T22:55:00+05:30,2026-02-28 22:55:00,20.4,20.8,18.7,0,0,16.6,307,0,0,0,6.3,195.3,263,90,0,0,25.9,65,1,307,0,1,1,26.2,18.8
2026-02-28T22:50:00+05:30,2026-02-28 22:50:00,20.6,21.1,18.7,0,0,16.6,307,0,0,0,6.3,195.3,263,89,0,0,25.9,65,1,307,0,1,1,26.2,18.8
2026-02-28T22:45:00+05:30,2026-02-28 22:45:00,20.6,21,18.5,0,0,16.6,306,0,0,0,6.3,195.3,263,88,0,0,25.9,65,1,306,0,1,1,26.2,18.8
2026-02-28T22:40:00+05:30,2026-02-28 22:40:00,20.5,20.9,18.6,0,0,16.6,309,0,0,0,6.3,195.3,263,89,0,0,25.9,65,1,309,0,1,1,26.2,18.8
2026-02-28T22:35:00+05:30,2026-02-28 22:35:00,20.5,20.9,18.6,0,0,16.6,309,0,0,0,6.3,195.3,263,89,0,0,25.9,64,1,309,0,1,1,26.2,18.6
2026-02-28T22:30:00+05:30,2026-02-28 22:30:00,20.6,21,18.5,0,0,16.6,308,0,0,0,6.3,195.3,263,88,0,0,26,64,1,309,0,1,1,26.3,18.7
2026-02-28T22:25:00+05:30,2026-02-28 22:25:00,20.7,21.1,18.7,0,0,16.6,308,0,0,0,6.3,195.3,263,88,0,0,26,64,1,308,0,1,1,26.3,18.7
2026-02-28T22:20:00+05:30,2026-02-28 22:20:00,20.6,21,18.5,0,0,16.6,308,0,0,0,6.3,195.3,263,88,0,0,26,64,1,308,0,1,1,26.3,18.7
2026-02-28T22:15:00+05:30,2026-02-28 22:15:00,20.6,21,18.5,0,0,16.6,308,0,0,0,6.3,195.3,263,88,0,0,26,64,1,308,0,1,1,26.3,18.7
2026-02-28T22:10:00+05:30,2026-02-28 22:10:00,20.7,21.1,18.5,0,0,16.6,308,0,0,0,6.3,195.3,263,87,0,0,26,64,1,308,0,1,1,26.3,18.7
2026-02-28T22:05:00+05:30,2026-02-28 22:05:00,20.8,21.2,18.3,0,0,16.6,308,0,0,0,6.3,195.3,263,86,0,0,26,64,1,308,0,1,1,26.3,18.7
2026-02-28T22:00:00+05:30,2026-02-28 22:00:00,20.9,21.3,18.5,0,0,16.6,308,0,0,0,6.3,195.3,263,86,0,0,26.1,63,1,308,0,1,1,26.4,18.5
2026-02-28T21:55:00+05:30,2026-02-28 21:55:00,21.2,21.6,18.4,0,0,16.6,308,0,0,0,6.3,195.3,263,84,0,0,26.1,63,1,308,0,1,1,26.4,18.5
2026-02-28T21:50:00+05:30,2026-02-28 21:50:00,21.2,21.6,18.4,0,0,16.6,308,0,0,0,6.3,195.3,263,84,0,0,26.1,63,1,308,0,1,1,26.4,18.5
2026-02-28T21:45:00+05:30,2026-02-28 21:45:00,21.1,21.5,18.3,0,0,16.6,310,0,0,0,6.3,195.3,263,84,0,0,26.1,63,1,310,0,1,1,26.4,18.5
2026-02-28T21:40:00+05:30,2026-02-28 21:40:00,21.1,21.5,18.5,0,0,16.6,310,0,0,0,6.3,195.3,263,85,0,0,26.2,63,1,310,0,1,1,26.6,18.6
2026-02-28T21:35:00+05:30,2026-02-28 21:35:00,21.2,21.6,18.4,0,0,16.6,310,0,0,0,6.3,195.3,263,84,0,0,26.2,62,1,310,0,1,1,26.5,18.3
2026-02-28T21:30:00+05:30,2026-02-28 21:30:00,21.3,21.6,18.3,0,0,16.6,310,0,0,0,6.3,195.3,263,83,0,0,26.2,62,1,310,0,1,1,26.5,18.3
2026-02-28T21:25:00+05:30,2026-02-28 21:25:00,21.3,21.6,18.3,0,0,16.6,310,0,0,0,6.3,195.3,263,83,0,0,26.2,62,1,310,0,1,1,26.5,18.3
2026-02-28T21:20:00+05:30,2026-02-28 21:20:00,21.5,21.9,18.5,0,0,16.6,310,0,0,0,6.3,195.3,263,83,0,0,26.2,62,1,310,0,1,1,26.5,18.3
2026-02-28T21:15:00+05:30,2026-02-28 21:15:00,21.6,22,18.4,0,0,16.6,310,0,0,0,6.3,195.3,263,82,0,0,26.2,62,1,310,0,1,1,26.5,18.3
2026-02-28T21:10:00+05:30,2026-02-28 21:10:00,21.6,21.9,18.2,0,0,16.6,310,0,0,0,6.3,195.3,263,81,0,0,26.3,62,1,310,0,1,1,26.6,18.4
2026-02-28T21:05:00+05:30,2026-02-28 21:05:00,21.7,22,18.1,0,0,16.6,310,0,0,0,6.3,195.3,263,80,0,0,26.3,61,1,310,0,1,1,26.6,18.2
2026-02-28T21:00:00+05:30,2026-02-28 21:00:00,21.7,22,18.1,0,0,16.6,310,0,0,0,6.3,195.3,263,80,0,0,26.3,61,1,310,0,1,1,26.6,18.2
2026-02-28T20:55:00+05:30,2026-02-28 20:55:00,21.8,22.1,18.2,0,0,16.6,310,0,0,0,6.3,195.3,263,80,0,0,26.3,61,1,310,0,1,1,26.6,18.2
2026-02-28T20:50:00+05:30,2026-02-28 20:50:00,21.8,22.1,18,0,0,16.6,310,0,0,0,6.3,195.3,263,79,0,0,26.4,61,1,310,0,1,1,26.7,18.2
2026-02-28T20:45:00+05:30,2026-02-28 20:45:00,21.9,22.2,18.1,0,0,16.6,310,0,0,0,6.3,195.3,263,79,0,0,26.4,61,1,310,0,1,1,26.7,18.2
