"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Relative Pressure (hPa)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°C)","Indoor Humidity (%)","PM2.5 Outdoor (µg/m^3)","PM2.5 Outdoor 24 Hour Average (µg/m^3)","Indoor Battery","Absolute Pressure (hPa)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","PM2.5 Outdoor","PM2.5 Outdoor 24 Hour Average","PM2.5 Outdoor Battery","CO2 battery","Indoor Feels Like (°C)","Indoor Dew Point (°C)"
2025-03-31T23:55:00+05:30,2025-03-31 23:55:00,23.7,24.7,23.2,0,0,16.6,306,1.8,0.8,0.8,0.8,171.9,503.4,959.3,97,0,0,25.4,86,57,57.2,1,959.3,1,305,0,152,152,1,1,26.2,22.9
2025-03-31T23:50:00+05:30,2025-03-31 23:50:00,23.8,24.7,23.1,0,1.8,16.6,306,0,0.5,0.5,0.5,171.6,503.1,959.5,96,0,0,25.5,85,57,57.6,1,959.5,1,306,0,152,152,1,1,26.3,22.8
2025-03-31T23:45:00+05:30,2025-03-31 23:45:00,23.9,24.9,23.4,0,1.8,16.6,305,0,0.5,0.5,0.5,171.6,503.1,959.9,97,0,0,25.6,85,49,57.5,1,959.9,1,354,0,134,152,1,1,26.4,22.9
2025-03-31T23:40:00+05:30,2025-03-31 23:40:00,23.8,24.7,23.1,0,0,16.6,355,0,0.5,0.5,0.5,171.6,503.1,959.9,96,0,0,25.6,85,49,58,1,959.9,1,355,0,134,152,1,1,26.4,22.9
2025-03-31T23:35:00+05:30,2025-03-31 23:35:00,23.9,24.8,23.2,0,0,16.6,355,0,0.5,0.5,0.5,171.6,503.1,960.1,96,0,0,25.6,85,57,58,1,960.1,1,355,0,152,152,1,1,26.4,22.9
2025-03-31T23:30:00+05:30,2025-03-31 23:30:00,23.9,24.8,23.2,0,0,16.6,355,0,0.5,0.5,0.5,171.6,503.1,960,96,0,0,25.7,85,57,58.4,1,960,1,355,0,152,152,1,1,26.6,23
2025-03-31T23:25:00+05:30,2025-03-31 23:25:00,23.7,24.7,23,0,0,16.6,356,0,0.5,0.5,0.5,171.6,503.1,960,96,0,0,25.6,85,59,58.4,1,960,1,356,0,153,153,1,1,26.4,22.9
2025-03-31T23:20:00+05:30,2025-03-31 23:20:00,23.7,24.7,23,0,0,16.6,350,1.2,0.5,0.5,0.5,171.6,503.1,960.1,96,0,0,25.6,84,59,58.6,1,960.1,1,339,0,153,153,1,1,26.4,22.7
2025-03-31T23:15:00+05:30,2025-03-31 23:15:00,23.9,24.8,23.2,0,0,16.6,339,1.2,0.5,0.5,0.5,171.6,503.1,960,96,0,0,25.7,84,59,58.6,1,960,1,6,0,153,153,1,1,26.6,22.8
2025-03-31T23:10:00+05:30,2025-03-31 23:10:00,24,24.9,23.1,0,0,16.6,6,1.8,0.3,0.3,0.3,171.4,502.9,960.1,95,0,0,25.8,84,59,58.9,1,960.1,1,359,0,153,153,1,1,26.6,22.9
2025-03-31T23:05:00+05:30,2025-03-31 23:05:00,24.1,25.1,23.3,0,0,16.6,359,1.8,0.3,0.3,0.3,171.4,502.9,960.1,95,0,0,25.9,83,57,58.9,1,960.1,1,359,0,152,153,1,1,26.7,22.8
2025-03-31T23:00:00+05:30,2025-03-31 23:00:00,24.1,25,23.1,0,0,16.6,0,0,0,0,0,171.1,502.6,960.2,94,0,0,25.9,83,57,59.2,1,960.2,1,0,0,152,153,1,1,26.7,22.8
2025-03-31T22:55:00+05:30,2025-03-31 22:55:00,24.1,25,23.1,0,0,16.6,0,0,0,0,0,171.1,502.6,960.2,94,0,0,25.9,83,60,59.2,1,960.2,1,1,0,153,153,1,1,26.7,22.8
2025-03-31T22:50:00+05:30,2025-03-31 22:50:00,24.1,25,23.1,0,0,16.6,3,0,0,0,0,171.1,502.6,960.1,94,0,0,26,83,60,59.4,1,960.1,1,3,0,153,153,1,1,26.8,22.9
2025-03-31T22:45:00+05:30,2025-03-31 22:45:00,24.4,25.3,23.2,0,0,16.6,1,0,0,0,0,171.1,502.6,960.3,93,0,0,26,82,76,59.5,1,960.3,1,320,0,162,153,1,1,26.8,22.7
