"Date","Simple Date","Outdoor Temperature (°C)","Feels Like (°C)","Dew Point (°C)","Wind Speed (km/hr)","Wind Gust (km/hr)","Max Daily Gust (km/hr)","Wind Direction (°)","Rain Rate (mm/hr)","Event Rain (mm)","Daily Rain (mm)","Weekly Rain (mm)","Monthly Rain (mm)","Yearly Rain (mm)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Sensor 4 Temperature (°C)","Sensor 4 Humidity (%)","Outdoor Battery","Avg Wind Direction (10 mins) (°)","Avg Wind Speed (10 mins) (km/hr)","Sensor 4 Battery","CO2 battery","Sensor 4 Feels Like (°C)","Sensor 4 Dew Point (°C)"
2026-03-31T23:55:00+05:30,2026-03-31 23:55:00,24.3,25,22,0,0,13,20,0,0,0,0,86.3,349.3,87,0,0,29.1,67,1,20,0,1,1,32.4,22.3
2026-03-31T23:50:00+05:30,2026-03-31 23:50:00,24.5,25.3,22,0,0,13,20,0,0,0,0,86.3,349.3,86,0,0,29.2,67,1,348,0,1,1,32.7,22.4
2026-03-31T23:45:00+05:30,2026-03-31 23:45:00,24.6,25.4,22.1,0,0,13,348,0,0,0,0,86.3,349.3,86,0,0,29.2,67,1,348,0,1,1,32.7,22.4
2026-03-31T23:40:00+05:30,2026-03-31 23:40:00,24.8,25.5,22.1,0,0,13,352,0,0,0,0,86.3,349.3,85,0,0,29.2,67,1,352,0,1,1,32.7,22.4
2026-03-31T23:35:00+05:30,2026-03-31 23:35:00,24.7,25.5,22,0,0,13,350,0,0,0,0,86.3,349.3,85,0,0,29.2,67,1,351,0,1,1,32.7,22.4
2026-03-31T23:30:00+05:30,2026-03-31 23:30:00,24.8,25.5,22.1,2.6,3.5,13,98,0,0,0,0,86.3,349.3,85,0,0,29.3,68,1,28,0,1,1,32.9,22.7
2026-03-31T23:25:00+05:30,2026-03-31 23:25:00,24.9,25.7,22.2,0,0,13,31,0,0,0,0,86.3,349.3,85,0,0,29.3,68,1,23,0,1,1,32.9,22.7
2026-03-31T23:20:00+05:30,2026-03-31 23:20:00,24.9,25.7,22.2,0.3,1.8,13,39,0,0,0,0,86.3,349.3,85,0,0,29.3,68,1,345,0,1,1,32.9,22.7
2026-03-31T23:15:00+05:30,2026-03-31 23:15:00,25.1,25.9,22.2,0,0,13,340,0,0,0,0,86.3,349.3,84,0,0,29.3,68,1,340,0,1,1,32.9,22.7
2026-03-31T23:10:00+05:30,2026-03-31 23:10:00,25.2,26,22.3,0,0,13,341,0,0,0,0,86.3,349.3,84,0,0,29.3,68,1,0,0,1,1,32.9,22.7
2026-03-31T23:05:00+05:30,2026-03-31 23:05:00,25.2,26,22.5,0,1.8,13,1,0,0,0,0,86.3,349.3,85,0,0,29.4,68,1,101,0,1,1,33.2,22.8
